Time,CAM_Daily,CAM_Monthly,CAM_Quarterly,CAM_Within_day,CAM_Yearly,Legacy,Open_Season
2016-01,1.36,0.018,0.108,0.305,0.228,40.656,0.0
2016-02,1.257,1.029,0.108,0.421,0.228,39.939,0.0
2016-03,0.945,0.864,0.108,0.277,0.228,39.807,0.0
2016-04,1.038,0.776,0.083,0.192,0.228,39.58,0.0
2016-05,1.237,0.752,0.083,0.214,0.228,39.336,0.0
2016-06,1.425,0.559,0.083,0.102,0.228,39.422,0.0
2016-07,0.97,0.76,0.075,0.13,0.228,39.36,0.0
2016-08,1.859,0.712,0.075,0.171,0.228,39.325,0.0
2016-09,1.358,1.302,0.075,0.198,0.228,39.348,0.0
2016-10,1.744,1.038,0.333,0.214,1.563,37.692,0.0
2016-11,1.766,0.6,0.333,0.228,1.563,37.656,0.0
2016-12,1.719,0.864,0.333,0.224,1.563,37.406,0.0
2016-02.1,1.333,1.195,0.405,0.179,1.563,35.479,0.0
2016-03.1,1.333,0.962,0.405,0.122,1.563,35.775,0.0
2016-04.1,1.528,0.68,0.494,0.231,1.563,35.409,0.0
2016-05.1,1.475,1.077,0.494,0.156,1.563,34.222,0.0
2016-06.1,1.896,0.923,0.494,0.169,1.563,34.642,0.0
2016-07.1,1.836,1.712,0.491,0.174,1.563,34.348,0.0
2016-08.1,2.31,1.07,0.491,0.125,1.563,34.855,0.0
2016-09.1,1.895,1.356,0.491,0.13,1.563,34.8,0.0
2016-10.1,1.695,1.563,0.887,0.297,1.841,33.938,0.0
2016-11.1,1.351,1.71,0.887,0.176,1.841,33.398,0.0
2016-12.1,1.825,2.034,0.887,0.317,1.841,33.214,0.0
2018-01,0.893,1.446,2.877,0.197,1.841,33.047,0.0
2018-02,1.927,0.755,2.877,0.589,1.841,32.861,0.0
2018-03,1.868,1.202,2.877,0.444,1.841,33.034,0.0
2018-04,1.587,0.97,1.988,0.266,1.841,33.1,0.0
2018-05,1.457,1.372,1.988,0.228,1.841,33.165,0.0
2018-06,1.204,1.093,1.988,0.199,1.841,32.42,0.0
2018-07,2.005,0.506,2.477,0.264,1.841,32.39,0.0
2018-08,1.66,0.521,2.477,0.272,1.841,32.367,0.0
2018-09,1.566,0.435,2.477,0.169,1.841,32.34,0.0
2018-10,1.611,0.639,0.743,0.201,4.903,27.019,0.0
2018-11,1.661,0.664,0.743,0.239,4.903,27.323,0.0
2018-12,1.638,1.023,0.743,0.228,4.903,26.976,0.0
2019-01,2.004,0.695,1.819,0.339,4.903,27.54,0.0
2019-02,1.866,0.844,1.819,0.181,4.903,27.624,0.0
2019-03,2.008,0.581,1.819,0.311,4.903,27.68,0.0
2019-04,2.286,0.637,1.53,0.498,4.903,27.468,0.0
2019-05,2.232,1.162,1.53,0.491,4.903,27.874,0.0
2019-06,1.823,1.735,1.53,0.237,4.903,27.666,0.0
2019-07,1.313,1.185,2.363,0.294,4.903,27.753,0.0
2019-08,1.208,0.309,2.363,0.209,4.903,28.027,0.0
2019-09,1.667,0.375,2.363,0.308,4.903,27.811,0.0
2019-10,1.304,0.548,1.223,0.368,6.928,25.043,0.0
2019-11,1.654,0.33,1.223,0.589,6.928,26.453,0.0
2019-12,1.697,0.428,1.223,0.362,6.928,26.891,0.0
2020-01,0.039,1.266,2.049,0.002,6.928,25.043,0.0
2020-02,0.0,0.0,2.049,0.0,6.928,25.043,0.0
2020-03,0.0,0.0,2.049,0.0,6.928,25.043,0.0
2020-04,0.0,0.0,0.92,0.0,6.928,25.043,0.0
2020-05,0.0,0.0,0.92,0.0,6.928,25.043,0.0
2020-06,0.0,0.0,0.92,0.0,6.928,25.043,0.0
2020-07,0.0,0.0,0.88,0.0,6.928,25.043,0.0
2020-08,0.0,0.0,0.88,0.0,6.928,25.043,0.0
2020-09,0.0,0.0,0.88,0.0,6.928,25.043,0.0
2020-10,0.0,0.0,0.0,0.0,4.582,20.485,4.0
2020-11,0.0,0.0,0.0,0.0,4.582,20.485,4.0
2020-12,0.0,0.0,0.0,0.0,4.582,20.485,4.0
2021-01,0.0,0.0,0.0,0.0,4.582,20.485,4.0
2021-02,0.0,0.0,0.0,0.0,4.582,20.484,4.0
2021-03,0.0,0.0,0.0,0.0,4.582,20.482,4.0
2021-04,0.0,0.0,0.0,0.0,4.582,20.468,4.0
2021-05,0.0,0.0,0.0,0.0,4.582,20.396,4.0
2021-06,0.0,0.0,0.0,0.0,4.582,20.388,4.0
2021-07,0.0,0.0,0.0,0.0,4.582,20.388,4.0
2021-08,0.0,0.0,0.0,0.0,4.582,20.388,4.0
2021-09,0.0,0.0,0.0,0.0,4.582,20.39,4.0
2021-10,0.0,0.0,0.0,0.0,4.076,19.42,4.0
2021-11,0.0,0.0,0.0,0.0,4.076,18.863,4.0
2021-12,0.0,0.0,0.0,0.0,4.076,18.713,4.0
2022-01,0.0,0.0,0.0,0.0,4.076,18.178,4.0
2022-02,0.0,0.0,0.0,0.0,4.076,18.16,4.0
2022-03,0.0,0.0,0.0,0.0,4.076,18.158,4.0
2022-04,0.0,0.0,0.0,0.0,4.076,18.125,4.0
2022-05,0.0,0.0,0.0,0.0,4.076,18.101,4.0
2022-06,0.0,0.0,0.0,0.0,4.076,18.095,4.0
2022-07,0.0,0.0,0.0,0.0,4.076,18.095,4.0
2022-08,0.0,0.0,0.0,0.0,4.076,18.095,4.0
2022-09,0.0,0.0,0.0,0.0,4.076,18.098,4.0
2022-10,0.0,0.0,0.0,0.0,3.702,17.932,3.0
2022-11,0.0,0.0,0.0,0.0,3.702,17.933,3.0
2022-12,0.0,0.0,0.0,0.0,3.702,17.82,3.0
2023-01,0.0,0.0,0.0,0.0,3.702,15.427,3.0
2023-02,0.0,0.0,0.0,0.0,3.702,15.347,3.0
2023-03,0.0,0.0,0.0,0.0,3.702,15.347,3.0
