year,retail_prices,wholesale_prices,mark_up
2008,70.49562088307692,60.11994815846154,10.375672724615384
2009,69.57154387714286,58.88612960928572,10.68541426857143
2010,65.82199259888888,52.434531524444445,13.38746107388889
2011,65.45837967285713,53.187594454285716,12.27078521857143
2012,66.47959828291667,53.49390969583333,12.9856885875
2013,63.573615326,51.005731414399996,12.5678839116
2014,61.5152538312,46.2705418624,15.244711968799999
2015,60.5065581564,41.6263253028,18.880232854
2016,58.325062924,37.5593286684,20.7657342556
2017,54.8442788428,38.6288659488,16.216212894
2018,59.94039,45.3324,14.60799
